FPS 3.21, MODE_20W_6CORE, CPU 126.54%, MEM 2874.42MB, POWER 11457.00mW, GPU 99.30%
FPS 3.04, MODE_20W_6CORE, CPU 126.54%, MEM 2874.42MB, POWER 11457.00mW, GPU 99.30%
FPS 2.25, MODE_20W_6CORE, CPU 98.10%, MEM 2926.77MB, POWER 11096.00mW, GPU 72.50%
FPS 2.86, MODE_20W_6CORE, CPU 98.10%, MEM 2926.77MB, POWER 11096.00mW, GPU 72.50%
FPS 2.34, MODE_20W_6CORE, CPU 98.10%, MEM 2926.77MB, POWER 11096.00mW, GPU 72.50%
FPS 2.98, MODE_20W_6CORE, CPU 98.10%, MEM 2926.77MB, POWER 11096.00mW, GPU 72.50%
FPS 3.05, MODE_20W_6CORE, CPU 98.10%, MEM 2926.77MB, POWER 11096.00mW, GPU 72.50%
FPS 2.38, MODE_20W_6CORE, CPU 98.10%, MEM 2926.77MB, POWER 11096.00mW, GPU 72.50%
FPS 3.09, MODE_20W_6CORE, CPU 125.28%, MEM 2874.52MB, POWER 11446.00mW, GPU 6.60%
FPS 2.75, MODE_20W_6CORE, CPU 125.28%, MEM 2874.52MB, POWER 11446.00mW, GPU 6.60%
FPS 2.36, MODE_20W_6CORE, CPU 125.28%, MEM 2874.52MB, POWER 11446.00mW, GPU 6.60%
FPS 3.02, MODE_20W_6CORE, CPU 125.28%, MEM 2874.52MB, POWER 11446.00mW, GPU 6.60%
FPS 3.18, MODE_20W_6CORE, CPU 125.28%, MEM 2874.52MB, POWER 11446.00mW, GPU 6.60%
FPS 2.11, MODE_20W_6CORE, CPU 106.80%, MEM 2886.34MB, POWER 11401.00mW, GPU 99.70%
FPS 2.82, MODE_20W_6CORE, CPU 106.80%, MEM 2886.34MB, POWER 11401.00mW, GPU 99.70%
FPS 2.51, MODE_20W_6CORE, CPU 106.80%, MEM 2886.34MB, POWER 11401.00mW, GPU 99.70%
FPS 3.00, MODE_20W_6CORE, CPU 106.80%, MEM 2886.34MB, POWER 11401.00mW, GPU 99.70%
FPS 2.94, MODE_20W_6CORE, CPU 106.80%, MEM 2886.34MB, POWER 11401.00mW, GPU 99.70%
FPS 2.34, MODE_20W_6CORE, CPU 111.66%, MEM 2874.07MB, POWER 11410.00mW, GPU 2.90%
FPS 2.79, MODE_20W_6CORE, CPU 111.66%, MEM 2874.07MB, POWER 11410.00mW, GPU 2.90%
FPS 2.40, MODE_20W_6CORE, CPU 111.66%, MEM 2874.07MB, POWER 11410.00mW, GPU 2.90%
FPS 2.56, MODE_20W_6CORE, CPU 111.66%, MEM 2874.07MB, POWER 11410.00mW, GPU 2.90%
FPS 2.96, MODE_20W_6CORE, CPU 111.66%, MEM 2874.07MB, POWER 11410.00mW, GPU 2.90%
FPS 2.36, MODE_20W_6CORE, CPU 111.66%, MEM 2874.07MB, POWER 11410.00mW, GPU 2.90%
FPS 2.87, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 2.80, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.06, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 2.86, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.08, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.03, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.05, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.33, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.00, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 2.97, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 2.91, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.00, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 2.98, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 2.96, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 2.90, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 2.86, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.00, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.06, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
