Before Load Model: MODE_20W_6CORE, CPU[user] 124.50%, CPU[system] 153.06%, MEM 988.62MB, POWER 4925.00mW, GPU 0.00%, IOREAD 6064.00bread/s, IOWRITE 0.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.29 sec, MODE_20W_6CORE, CPU[user] 152.04%, CPU[system] 114.84%, MEM 3910.50MB, POWER 6424.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.29 sec, MODE_20W_6CORE, CPU[user] 123.48%, CPU[system] 111.12%, MEM 3906.94MB, POWER 7801.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.37 sec, MODE_20W_6CORE, CPU[user] 61.14%, CPU[system] 78.42%, MEM 3857.44MB, POWER 9074.00mW, GPU 92.50%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.41 sec, MODE_20W_6CORE, CPU[user] 119.82%, CPU[system] 88.08%, MEM 3908.89MB, POWER 7511.00mW, GPU 99.60%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.30 sec, MODE_20W_6CORE, CPU[user] 141.24%, CPU[system] 141.24%, MEM 3905.95MB, POWER 7213.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 7.92bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.28 sec, MODE_20W_6CORE, CPU[user] 126.18%, CPU[system] 113.82%, MEM 3862.55MB, POWER 8775.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.32 sec, MODE_20W_6CORE, CPU[user] 55.62%, CPU[system] 71.82%, MEM 3862.94MB, POWER 6688.00mW, GPU 18.10%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.30 sec, MODE_20W_6CORE, CPU[user] 164.28%, CPU[system] 114.36%, MEM 3911.56MB, POWER 7739.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.46 sec, MODE_20W_6CORE, CPU[user] 72.06%, CPU[system] 92.64%, MEM 3864.53MB, POWER 7412.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 0.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.38 sec, MODE_20W_6CORE, CPU[user] 68.58%, CPU[system] 81.66%, MEM 3911.80MB, POWER 5807.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
